valid_time,temperatura_2m,velocidad_viento,precipitacion,presion_superficial
2024-09-01 00:00:00,20.231318,1.3430703,0.62765,933.68176
2024-09-01 12:00:00,26.88336,1.7672312,0.71768445,932.90393
2024-09-02 00:00:00,20.473013,1.0210049,3.2371554,933.3017
2024-09-02 12:00:00,24.41722,2.2970657,2.9237492,932.51135
2024-09-03 00:00:00,20.270975,1.3058455,7.6636972,932.5068
2024-09-03 12:00:00,23.761253,2.2444556,5.580707,933.2271
2024-09-04 00:00:00,19.208788,1.6196005,11.614174,933.0676
2024-09-04 12:00:00,21.86389,2.839786,22.2819,931.8342
2024-09-05 00:00:00,16.113394,2.1105514,23.502157,932.92206
2024-09-05 12:00:00,22.051836,3.0182927,0.38025436,930.35175
2024-09-06 00:00:00,18.07293,3.109855,2.3653016,927.26874
2024-09-06 12:00:00,24.76099,3.680006,0.75516075,925.74756
2024-09-07 00:00:00,18.489683,1.8741151,1.062676,926.9445
2024-09-07 12:00:00,25.734842,3.0110116,0.015197466,929.62744
2024-09-08 00:00:00,19.444723,1.8253496,0.45219243,931.09155
2024-09-08 12:00:00,24.954958,3.158353,1.057036,930.4183
2024-09-09 00:00:00,16.883825,2.602316,1.2695727,933.62213
2024-09-09 12:00:00,24.529848,2.8859868,0.0013622263,935.5538
2024-09-10 00:00:00,16.553198,1.8611197,0.0030921923,936.7492
2024-09-10 12:00:00,25.431913,2.177654,0.0040353183,935.5511
2024-09-11 00:00:00,16.485336,1.793354,0.015153034,934.93207
2024-09-11 12:00:00,24.264761,2.2200954,0.03339807,934.3533
2024-09-12 00:00:00,16.894905,1.8542875,1.0134388,934.1087
2024-09-12 12:00:00,24.280369,3.2445269,0.123535946,933.10205
2024-09-13 00:00:00,16.091442,3.4057915,0.31115422,935.152
2024-09-13 12:00:00,19.012856,3.5115304,0.52991414,938.5393
2024-09-14 00:00:00,13.076997,1.789054,0.57130706,941.0896
2024-09-14 12:00:00,20.871927,1.9960159,0.120018624,940.81836
2024-09-15 00:00:00,14.037328,1.442248,0.12355442,939.3853
2024-09-15 12:00:00,24.542921,1.8356802,0.0012934206,937.0989
2024-09-16 00:00:00,14.301296,1.7214766,0.0030029472,936.24884
2024-09-16 12:00:00,24.659122,1.8802898,0.0004327523,934.46436
2024-09-17 00:00:00,14.837122,1.8502145,0.0004447076,933.53687
2024-09-17 12:00:00,22.49542,2.544481,0.009428162,932.22406
2024-09-18 00:00:00,15.599993,1.5584438,0.4931807,933.00885
2024-09-18 12:00:00,19.899025,2.8662682,5.2107115,933.03674
2024-09-19 00:00:00,15.086156,1.7039818,11.663007,934.01587
2024-09-19 12:00:00,18.967167,2.232243,3.51694,932.88074
2024-09-20 00:00:00,15.017176,1.3856608,13.60413,933.4693
2024-09-20 12:00:00,20.352648,2.7236414,2.496773,933.88086
2024-09-21 00:00:00,16.2354,1.9831733,4.9952946,934.2545
2024-09-21 12:00:00,18.91333,2.7907178,7.040902,932.6252
2024-09-22 00:00:00,16.15897,1.2878395,14.265562,933.3479
2024-09-22 12:00:00,21.928198,2.1523213,0.340578,933.1697
